"Title","Categories: Sub","ASIN"
"Neenah White Index, Heavyweight Cardstock, 300 Sheets, 110 lb/199 gsm, 94 Brightness, 8.5"" x 11"" - MORE SHEETS! (91635)","Card Stock","B09NC8RRZR"
"Fiskars 8"" Pinking Shears and 8"" Fabric Scissors Bundle - SoftGrip Ergonomic Handle Scissors for Sewing, Arts and Crafts","Scissors, Cutting & Measuring Devices","B0D3CYKGLV"
"ARTISTRO 60 Acrylic Paint Pens, Acrylic Paint Markers, Fabric Markers for Textile, Canvas, Rock, Glass, Wood, Paper, Pumpkin, DIY, Paint Markers for Kids and Adults (Dual Tip Dot + Fine, 60)","Pens & Markers","B0CXJ3FLM7"
"Brother RLX3817 17-Stitch Sewing Machine, White(Renewed)","Sewing Machines","B00B49VE74"
"100 x Save The Date Stickers, Embossed Labels, Gold Foil Tags, Nice Envelope Seals, Invitation Stickers, Wedding Invitation Decor, Foil Party Favor Stickers, Embossed Favor Stickers","Home & Kitchen, Categories, Stickers, Stationery & Party Supplies","B0CTQVT8WF"
"Mini Craft Iron Mini Heat Press Mini Iron Portable Handy Heat Press Small Iron with Charging Base Accessories for Fuse Beads Patch DIY Shoes T-shirts Heat Transfer Vinyl Projects(Light Green)","Heat Press Machines","B09N3LQJ18"
"Soucolor Gifts for Women, Gift Baskets for Women Adult, 150 Colors Dual Tip Brush Markers for DIY Journal Kit Coloring Drawing Sketching, Sister Gifts Sets Box for Kids Teens Girls Gift","Markers","B0DBHKRNN3"
"Cricut Value Permanent Vinyl, Black (12in x 10ft) + Cricut Transfer Tape (12in x 21ft)","Adhesive Vinyl","B0DVCJR93N"
"Meowoo Ring Sizer Measuring Tool Set, Ring Sizer with Magnifying Glass, Integrated Conical Solid Ring Mandrel Sizer Tools for Ring Repair and Measurement, Jewelry Sizing Measuring, 4 pcs","Jewelry Sizers & Mandrels, Find your ring size","B0CPKS7YB7"
"White Permanent Vinyl - Matte White Adhesive Vinyl Roll for All Cutting Machine, Permanent Outdoor Vinyl 12"" x11FT for Decor Sticker, Car Decal, Scrapbooking, Signs, Matte & Waterproof","Adhesive Vinyl","B09WK6G3RF"
"Plaid Wood Unfinished Letter, 8"" Wooden Surface Perfect for DIY Arts and Crafts Projects, 63605, 8 inch","Unfinished Wood","B0C6R9VW3Y"
"Yarnart Jeans Yarn, Amigurumi Cotton Yarn, Cotton Yarn Crocheting, Knitting Yarn, amigurumi Cotton Yarn, Turkish Yarn, 55% Cotton – 45% PAC (Poliacrylic) Color (69)","Yarn","B09FH5D7Z2"
"Bstorify Square Scrapbook Photo Albums 50 Pages (28 x 22 cm) White Thick Paper, Hardcover, Metal Corners, Ribbon Closure - Ideal for Your Scrapbooking Albums, Art & Craft Projects","Albums","B0BTWL8DSG"
"XKDOUS Safety Pins, 150 PCS Safety Pins Assorted, 3 Different Sizes Silver Safety Pins Bulk, Small Safety Pins, Large Safety Pins Heavy Duty for Clothes, Sewing, Craft","Safety Pins","B0CH4TP92N"
"Red Heart Super Saver Jumbo Camouflage Yarn - 2 Pack of 283g/10oz - Acrylic - 4 Medium (Worsted) - 482 Yards - Knitting/Crochet","Yarn","B09W1L13R9"
"White Amber Sunset Fragrance Oil (60ml) for Diffusers, Soap Making, Candles, Lotion, Home Scents, Linen Spray, Bath Bombs, Slime","Scents","B07QBDJJJJ"
"ARTDOT 120 Slots Storage Container for Diamond Art Kits for Adults,Portable Bead Storage Boxes for Diamond Painting Accessories and Tools(Pink)","Storage Boxes & Organizers","B09XDPD5B9"
"Berwick Offray 062050 5/8"" Wide Single Face Satin Ribbon, Red, 6 Yds (Pack of 2)","Ribbons","B0C2SNPLX9"
"Simetufy 12 Pack 5x7 Inch Small Canvas Boards for Painting, Gesso Primed Acid-Free 100% Cotton Blank Flat Canvas Panels for Kids, Non Toxic","Canvas Boards & Panels","B0CNT3C66N"
"Yarniss Ergonomic Crochet Hooks Set, 9 Sizes Crochet Hooks with Case 2.0mm~6.0mm","Crochet Hooks","B0CRKRDB5M"
"12pcs Tshirt Ruler Guide for Vinyl Alignment, T Shirt Measurement Accessories Tools for Cricut Heat Press & Cameo & HTV Transfer Vinyl, Stocking Stuffers Gifts for Women，Christmas Gifts for Mom","Rulers, Shop All Notions","B09X2NTWRK"
"New brothread - Single Huge Spool 5000M Each Polyester Embroidery Machine Thread 40WT for Commercial and Domestic Machines - Orange","Sewing, Embroidery Machine Thread","B0BLGXJB74"
"P&J Trading - New Car Scented Oil 30ml - Fragrance Oil for Candle Making, Soap Making, Diffuser Oil","Scents","B09CCXJNKG"
"JUNING Sewing Kit with Case, 130 pcs Sewing Supplies for Home Travel and Emergency, Kids Machine, Contains 24 Spools of Thread, Mending and Sewing Needles, Scissors, Thimble,Measuring Tape","Sewing Project Kits, Sewing Tools, Shop All Notions","B077RT6XXZ"
